transaction_id,user_id,timestamp_utc,direction,amount_usd,ach_type,funding_speed,device_id,ip_country,return_code,returned,days_to_return,fraud_pattern_type,is_fraud_pattern,account_age_days
txn_1,user_460,2025-01-07T19:46:00,debit,1302.56,PULL,standard,device_195,BR,,False,,,False,38
txn_2,user_201,2025-02-14T18:15:00,debit,895.71,PUSH,standard,device_277,US,,False,,,False,133
txn_3,user_473,2025-02-04T15:28:00,debit,182.08,PULL,standard,device_46,BR,,False,,,False,157
txn_4,user_399,2025-01-04T04:52:00,debit,483.81,PUSH,instant,device_161,US,,False,,,False,102
txn_5,user_419,2025-02-08T13:17:00,debit,630.23,PULL,standard,device_171,BR,R01,True,3.0,,False,108
txn_6,user_182,2025-02-11T08:42:00,credit,1266.93,PUSH,instant,device_30,GB,,False,,,False,55
txn_7,user_395,2025-02-16T18:26:00,debit,808.74,PUSH,standard,device_235,CA,,False,,,False,262
txn_8,user_275,2025-01-27T00:24:00,debit,631.17,PULL,standard,device_143,MX,,False,,,False,152
txn_9,user_138,2025-01-20T15:35:00,credit,1423.8,PULL,standard,device_138,GB,,False,,,False,11
txn_10,user_466,2025-02-03T04:22:00,debit,953.05,PULL,standard,device_160,GB,,False,,,False,352
txn_11,user_486,2025-02-11T16:30:00,credit,151.69,PULL,instant,device_217,US,,False,,,False,84
txn_12,user_30,2025-01-27T17:04:00,credit,1194.72,PULL,standard,device_235,US,,False,,,False,161
txn_13,user_156,2025-01-06T16:52:00,debit,862.92,PULL,standard,device_276,MX,R02,True,25.0,,False,241
txn_14,user_29,2025-01-08T04:24:00,debit,184.48,PULL,standard,device_276,MX,,False,,,False,199
txn_15,user_18,2025-02-19T00:38:00,debit,413.1,PULL,standard,device_228,BR,,False,,,False,46
txn_16,user_292,2025-01-09T20:48:00,debit,1097.23,PUSH,standard,device_184,GB,,False,,,False,97
txn_17,user_354,2025-02-20T18:43:00,credit,186.53,PULL,standard,device_285,GB,,False,,,False,158
txn_18,user_34,2025-02-05T07:05:00,debit,1239.85,PULL,standard,device_4,CA,,False,,,False,202
txn_19,user_276,2025-01-24T10:56:00,debit,1320.01,PUSH,standard,device_299,MX,,False,,,False,176
txn_20,user_415,2025-03-01T22:42:00,debit,1346.58,PULL,standard,device_256,MX,,False,,,False,6
txn_21,user_404,2025-02-24T13:35:00,debit,18.09,PULL,instant,device_11,BR,,False,,,False,354
txn_22,user_95,2025-01-15T07:30:00,credit,1392.42,PULL,instant,device_134,US,,False,,,False,327
txn_23,user_99,2025-02-02T09:22:00,credit,948.72,PULL,standard,device_223,US,R10,True,6.0,,False,232
txn_24,user_95,2025-02-14T23:10:00,debit,91.21,PULL,instant,device_183,GB,,False,,,False,327
txn_25,user_457,2025-02-12T13:47:00,debit,1470.24,PULL,standard,device_261,GB,,False,,,False,54
txn_26,user_63,2025-01-26T02:27:00,debit,1052.67,PUSH,standard,device_173,GB,,False,,,False,133
txn_27,user_162,2025-01-31T12:01:00,debit,209.8,PULL,standard,device_235,MX,,False,,,False,242
txn_28,user_349,2025-02-20T09:45:00,debit,886.58,PULL,standard,device_66,GB,,False,,,False,65
txn_29,user_224,2025-01-29T10:45:00,debit,1055.98,PULL,standard,device_74,MX,,False,,,False,73
txn_30,user_70,2025-02-01T13:58:00,credit,773.98,PUSH,instant,device_108,BR,,False,,,False,171
txn_31,user_346,2025-01-31T05:13:00,debit,1257.7,PULL,standard,device_260,BR,,False,,,False,93
txn_32,user_443,2025-01-30T06:05:00,credit,477.7,PULL,instant,device_52,MX,,False,,,False,48
txn_33,user_319,2025-02-21T09:25:00,debit,188.31,PUSH,instant,device_135,MX,,False,,,False,342
txn_34,user_326,2025-02-15T04:25:00,debit,964.92,PULL,standard,device_116,GB,R29,True,5.0,,False,84
txn_35,user_235,2025-02-27T11:32:00,credit,1260.21,PULL,standard,device_167,BR,,False,,,False,179
txn_36,user_486,2025-01-24T13:18:00,debit,709.3,PULL,instant,device_282,US,,False,,,False,84
txn_37,user_253,2025-03-01T17:40:00,debit,745.0,PULL,instant,device_176,BR,,False,,,False,68
txn_38,user_46,2025-02-08T06:07:00,debit,96.58,PULL,standard,device_279,BR,,False,,,False,354
txn_39,user_191,2025-01-23T04:36:00,debit,1365.23,PUSH,standard,device_151,GB,,False,,,False,249
txn_40,user_93,2025-01-30T22:17:00,debit,1376.83,PULL,standard,device_95,US,,False,,,False,307
txn_41,user_117,2025-01-26T05:11:00,debit,901.73,PULL,standard,device_92,GB,,False,,,False,13
txn_42,user_347,2025-02-08T00:37:00,credit,1144.53,PULL,instant,device_187,MX,,False,,,False,361
txn_43,user_258,2025-02-18T13:16:00,debit,834.12,PUSH,instant,device_132,US,,False,,,False,37
txn_44,user_392,2025-01-18T07:02:00,debit,194.57,PULL,standard,device_262,BR,,False,,,False,65
txn_45,user_370,2025-01-05T10:36:00,debit,136.38,PUSH,instant,device_238,GB,,False,,,False,281
txn_46,user_135,2025-02-19T08:31:00,debit,172.83,PULL,standard,device_3,BR,,False,,,False,290
txn_47,user_481,2025-02-24T11:15:00,credit,936.63,PULL,standard,device_71,CA,,False,,,False,105
